Round	Game #	Home Team	Visitor Team
1	1	Team 22	Team 1
1	2	Team 21	Team 2
1	3	Team 3	Team 20
1	4	Team 19	Team 4
1	5	Team 5	Team 18
1	6	Team 17	Team 6
1	7	Team 7	Team 16
1	8	Team 15	Team 8
1	9	Team 9	Team 14
1	10	Team 13	Team 10
1	11	Team 11	Team 12
2	12	Team 2	Team 22
2	13	Team 1	Team 3
2	14	Team 4	Team 21
2	15	Team 20	Team 5
2	16	Team 6	Team 19
2	17	Team 18	Team 7
2	18	Team 8	Team 17
2	19	Team 16	Team 9
2	20	Team 10	Team 15
2	21	Team 14	Team 11
2	22	Team 12	Team 13
3	23	Team 22	Team 3
3	24	Team 2	Team 4
3	25	Team 5	Team 1
3	26	Team 21	Team 6
3	27	Team 7	Team 20
3	28	Team 19	Team 8
3	29	Team 9	Team 18
3	30	Team 17	Team 10
3	31	Team 11	Team 16
3	32	Team 15	Team 12
3	33	Team 13	Team 14
4	34	Team 4	Team 22
4	35	Team 3	Team 5
4	36	Team 6	Team 2
4	37	Team 1	Team 7
4	38	Team 8	Team 21
4	39	Team 20	Team 9
4	40	Team 10	Team 19
4	41	Team 18	Team 11
4	42	Team 12	Team 17
4	43	Team 16	Team 13
4	44	Team 14	Team 15
5	45	Team 22	Team 5
5	46	Team 4	Team 6
5	47	Team 7	Team 3
5	48	Team 2	Team 8
5	49	Team 9	Team 1
5	50	Team 21	Team 10
5	51	Team 11	Team 20
5	52	Team 19	Team 12
5	53	Team 13	Team 18
5	54	Team 17	Team 14
5	55	Team 15	Team 16
6	56	Team 6	Team 22
6	57	Team 5	Team 7
6	58	Team 8	Team 4
6	59	Team 3	Team 9
6	60	Team 10	Team 2
6	61	Team 1	Team 11
6	62	Team 12	Team 21
6	63	Team 20	Team 13
6	64	Team 14	Team 19
6	65	Team 18	Team 15
6	66	Team 16	Team 17
7	67	Team 22	Team 7
7	68	Team 6	Team 8
7	69	Team 9	Team 5
7	70	Team 4	Team 10
7	71	Team 11	Team 3
7	72	Team 2	Team 12
7	73	Team 13	Team 1
7	74	Team 21	Team 14
7	75	Team 15	Team 20
7	76	Team 19	Team 16
7	77	Team 17	Team 18
8	78	Team 8	Team 22
8	79	Team 7	Team 9
8	80	Team 10	Team 6
8	81	Team 5	Team 11
8	82	Team 12	Team 4
8	83	Team 3	Team 13
8	84	Team 14	Team 2
8	85	Team 1	Team 15
8	86	Team 16	Team 21
8	87	Team 20	Team 17
8	88	Team 18	Team 19
9	89	Team 22	Team 9
9	90	Team 8	Team 10
9	91	Team 11	Team 7
9	92	Team 6	Team 12
9	93	Team 13	Team 5
9	94	Team 4	Team 14
9	95	Team 15	Team 3
9	96	Team 2	Team 16
9	97	Team 17	Team 1
9	98	Team 21	Team 18
9	99	Team 19	Team 20
10	100	Team 10	Team 22
10	101	Team 9	Team 11
10	102	Team 12	Team 8
10	103	Team 7	Team 13
10	104	Team 14	Team 6
10	105	Team 5	Team 15
10	106	Team 16	Team 4
10	107	Team 3	Team 17
10	108	Team 18	Team 2
10	109	Team 1	Team 19
10	110	Team 20	Team 21
11	111	Team 22	Team 11
11	112	Team 10	Team 12
11	113	Team 13	Team 9
11	114	Team 8	Team 14
11	115	Team 15	Team 7
11	116	Team 6	Team 16
11	117	Team 17	Team 5
11	118	Team 4	Team 18
11	119	Team 19	Team 3
11	120	Team 2	Team 20
11	121	Team 21	Team 1
12	122	Team 12	Team 22
12	123	Team 11	Team 13
12	124	Team 14	Team 10
12	125	Team 9	Team 15
12	126	Team 16	Team 8
12	127	Team 7	Team 17
12	128	Team 18	Team 6
12	129	Team 5	Team 19
12	130	Team 20	Team 4
12	131	Team 3	Team 21
12	132	Team 1	Team 2
13	133	Team 22	Team 13
13	134	Team 12	Team 14
13	135	Team 15	Team 11
13	136	Team 10	Team 16
13	137	Team 17	Team 9
13	138	Team 8	Team 18
13	139	Team 19	Team 7
13	140	Team 6	Team 20
13	141	Team 21	Team 5
13	142	Team 4	Team 1
13	143	Team 2	Team 3
14	144	Team 14	Team 22
14	145	Team 13	Team 15
14	146	Team 16	Team 12
14	147	Team 11	Team 17
14	148	Team 18	Team 10
14	149	Team 9	Team 19
14	150	Team 20	Team 8
14	151	Team 7	Team 21
14	152	Team 1	Team 6
14	153	Team 5	Team 2
14	154	Team 3	Team 4
15	155	Team 22	Team 15
15	156	Team 14	Team 16
15	157	Team 17	Team 13
15	158	Team 12	Team 18
15	159	Team 19	Team 11
15	160	Team 10	Team 20
15	161	Team 21	Team 9
15	162	Team 8	Team 1
15	163	Team 2	Team 7
15	164	Team 6	Team 3
15	165	Team 4	Team 5
16	166	Team 16	Team 22
16	167	Team 15	Team 17
16	168	Team 18	Team 14
16	169	Team 13	Team 19
16	170	Team 20	Team 12
16	171	Team 11	Team 21
16	172	Team 1	Team 10
16	173	Team 9	Team 2
16	174	Team 3	Team 8
16	175	Team 7	Team 4
16	176	Team 5	Team 6
17	177	Team 22	Team 17
17	178	Team 16	Team 18
17	179	Team 19	Team 15
17	180	Team 14	Team 20
17	181	Team 21	Team 13
17	182	Team 12	Team 1
17	183	Team 2	Team 11
17	184	Team 10	Team 3
17	185	Team 4	Team 9
17	186	Team 8	Team 5
17	187	Team 6	Team 7
18	188	Team 18	Team 22
18	189	Team 17	Team 19
18	190	Team 20	Team 16
18	191	Team 15	Team 21
18	192	Team 1	Team 14
18	193	Team 13	Team 2
18	194	Team 3	Team 12
18	195	Team 11	Team 4
18	196	Team 5	Team 10
18	197	Team 9	Team 6
18	198	Team 7	Team 8
19	199	Team 22	Team 19
19	200	Team 18	Team 20
19	201	Team 21	Team 17
19	202	Team 16	Team 1
19	203	Team 2	Team 15
19	204	Team 14	Team 3
19	205	Team 4	Team 13
19	206	Team 12	Team 5
19	207	Team 6	Team 11
19	208	Team 10	Team 7
19	209	Team 8	Team 9
20	210	Team 20	Team 22
20	211	Team 19	Team 21
20	212	Team 1	Team 18
20	213	Team 17	Team 2
20	214	Team 3	Team 16
20	215	Team 15	Team 4
20	216	Team 5	Team 14
20	217	Team 13	Team 6
20	218	Team 7	Team 12
20	219	Team 11	Team 8
20	220	Team 9	Team 10
21	221	Team 22	Team 21
21	222	Team 20	Team 1
21	223	Team 2	Team 19
21	224	Team 18	Team 3
21	225	Team 4	Team 17
21	226	Team 16	Team 5
21	227	Team 6	Team 15
21	228	Team 14	Team 7
21	229	Team 8	Team 13
21	230	Team 12	Team 9
21	231	Team 10	Team 11
22	232	Team 1	Team 22
22	233	Team 2	Team 21
22	234	Team 20	Team 3
22	235	Team 4	Team 19
22	236	Team 18	Team 5
22	237	Team 6	Team 17
22	238	Team 16	Team 7
22	239	Team 8	Team 15
22	240	Team 14	Team 9
22	241	Team 10	Team 13
22	242	Team 12	Team 11
23	243	Team 22	Team 2
23	244	Team 3	Team 1
23	245	Team 21	Team 4
23	246	Team 5	Team 20
23	247	Team 19	Team 6
23	248	Team 7	Team 18
23	249	Team 17	Team 8
23	250	Team 9	Team 16
23	251	Team 15	Team 10
23	252	Team 11	Team 14
23	253	Team 13	Team 12
24	254	Team 3	Team 22
24	255	Team 4	Team 2
24	256	Team 1	Team 5
24	257	Team 6	Team 21
24	258	Team 20	Team 7
24	259	Team 8	Team 19
24	260	Team 18	Team 9
24	261	Team 10	Team 17
24	262	Team 16	Team 11
24	263	Team 12	Team 15
24	264	Team 14	Team 13
25	265	Team 22	Team 4
25	266	Team 5	Team 3
25	267	Team 2	Team 6
25	268	Team 7	Team 1
25	269	Team 21	Team 8
25	270	Team 9	Team 20
25	271	Team 19	Team 10
25	272	Team 11	Team 18
25	273	Team 17	Team 12
25	274	Team 13	Team 16
25	275	Team 15	Team 14
26	276	Team 5	Team 22
26	277	Team 6	Team 4
26	278	Team 3	Team 7
26	279	Team 8	Team 2
26	280	Team 1	Team 9
26	281	Team 10	Team 21
26	282	Team 20	Team 11
26	283	Team 12	Team 19
26	284	Team 18	Team 13
26	285	Team 14	Team 17
26	286	Team 16	Team 15
27	287	Team 22	Team 6
27	288	Team 7	Team 5
27	289	Team 4	Team 8
27	290	Team 9	Team 3
27	291	Team 2	Team 10
27	292	Team 11	Team 1
27	293	Team 21	Team 12
27	294	Team 13	Team 20
27	295	Team 19	Team 14
27	296	Team 15	Team 18
27	297	Team 17	Team 16
28	298	Team 7	Team 22
28	299	Team 8	Team 6
28	300	Team 5	Team 9
28	301	Team 10	Team 4
28	302	Team 3	Team 11
28	303	Team 12	Team 2
28	304	Team 1	Team 13
28	305	Team 14	Team 21
28	306	Team 20	Team 15
28	307	Team 16	Team 19
28	308	Team 18	Team 17
29	309	Team 22	Team 8
29	310	Team 9	Team 7
29	311	Team 6	Team 10
29	312	Team 11	Team 5
29	313	Team 4	Team 12
29	314	Team 13	Team 3
29	315	Team 2	Team 14
29	316	Team 15	Team 1
29	317	Team 21	Team 16
29	318	Team 17	Team 20
29	319	Team 19	Team 18
30	320	Team 9	Team 22
30	321	Team 10	Team 8
30	322	Team 7	Team 11
30	323	Team 12	Team 6
30	324	Team 5	Team 13
30	325	Team 14	Team 4
30	326	Team 3	Team 15
30	327	Team 16	Team 2
30	328	Team 1	Team 17
30	329	Team 18	Team 21
30	330	Team 20	Team 19
31	331	Team 22	Team 10
31	332	Team 11	Team 9
31	333	Team 8	Team 12
31	334	Team 13	Team 7
31	335	Team 6	Team 14
31	336	Team 15	Team 5
31	337	Team 4	Team 16
31	338	Team 17	Team 3
31	339	Team 2	Team 18
31	340	Team 19	Team 1
31	341	Team 21	Team 20
32	342	Team 11	Team 22
32	343	Team 12	Team 10
32	344	Team 9	Team 13
32	345	Team 14	Team 8
32	346	Team 7	Team 15
32	347	Team 16	Team 6
32	348	Team 5	Team 17
32	349	Team 18	Team 4
32	350	Team 3	Team 19
32	351	Team 20	Team 2
32	352	Team 1	Team 21
33	353	Team 22	Team 12
33	354	Team 13	Team 11
33	355	Team 10	Team 14
33	356	Team 15	Team 9
33	357	Team 8	Team 16
33	358	Team 17	Team 7
33	359	Team 6	Team 18
33	360	Team 19	Team 5
33	361	Team 4	Team 20
33	362	Team 21	Team 3
33	363	Team 2	Team 1
34	364	Team 13	Team 22
34	365	Team 14	Team 12
34	366	Team 11	Team 15
34	367	Team 16	Team 10
34	368	Team 9	Team 17
34	369	Team 18	Team 8
34	370	Team 7	Team 19
34	371	Team 20	Team 6
34	372	Team 5	Team 21
34	373	Team 1	Team 4
34	374	Team 3	Team 2
35	375	Team 22	Team 14
35	376	Team 15	Team 13
35	377	Team 12	Team 16
35	378	Team 17	Team 11
35	379	Team 10	Team 18
35	380	Team 19	Team 9
35	381	Team 8	Team 20
35	382	Team 21	Team 7
35	383	Team 6	Team 1
35	384	Team 2	Team 5
35	385	Team 4	Team 3
36	386	Team 15	Team 22
36	387	Team 16	Team 14
36	388	Team 13	Team 17
36	389	Team 18	Team 12
36	390	Team 11	Team 19
36	391	Team 20	Team 10
36	392	Team 9	Team 21
36	393	Team 1	Team 8
36	394	Team 7	Team 2
36	395	Team 3	Team 6
36	396	Team 5	Team 4
37	397	Team 22	Team 16
37	398	Team 17	Team 15
37	399	Team 14	Team 18
37	400	Team 19	Team 13
37	401	Team 12	Team 20
37	402	Team 21	Team 11
37	403	Team 10	Team 1
37	404	Team 2	Team 9
37	405	Team 8	Team 3
37	406	Team 4	Team 7
37	407	Team 6	Team 5
38	408	Team 17	Team 22
38	409	Team 18	Team 16
38	410	Team 15	Team 19
38	411	Team 20	Team 14
38	412	Team 13	Team 21
38	413	Team 1	Team 12
38	414	Team 11	Team 2
38	415	Team 3	Team 10
38	416	Team 9	Team 4
38	417	Team 5	Team 8
38	418	Team 7	Team 6
39	419	Team 22	Team 18
39	420	Team 19	Team 17
39	421	Team 16	Team 20
39	422	Team 21	Team 15
39	423	Team 14	Team 1
39	424	Team 2	Team 13
39	425	Team 12	Team 3
39	426	Team 4	Team 11
39	427	Team 10	Team 5
39	428	Team 6	Team 9
39	429	Team 8	Team 7
40	430	Team 19	Team 22
40	431	Team 20	Team 18
40	432	Team 17	Team 21
40	433	Team 1	Team 16
40	434	Team 15	Team 2
40	435	Team 3	Team 14
40	436	Team 13	Team 4
40	437	Team 5	Team 12
40	438	Team 11	Team 6
40	439	Team 7	Team 10
40	440	Team 9	Team 8
41	441	Team 22	Team 20
41	442	Team 21	Team 19
41	443	Team 18	Team 1
41	444	Team 2	Team 17
41	445	Team 16	Team 3
41	446	Team 4	Team 15
41	447	Team 14	Team 5
41	448	Team 6	Team 13
41	449	Team 12	Team 7
41	450	Team 8	Team 11
41	451	Team 10	Team 9
42	452	Team 21	Team 22
42	453	Team 1	Team 20
42	454	Team 19	Team 2
42	455	Team 3	Team 18
42	456	Team 17	Team 4
42	457	Team 5	Team 16
42	458	Team 15	Team 6
42	459	Team 7	Team 14
42	460	Team 13	Team 8
42	461	Team 9	Team 12
42	462	Team 11	Team 10
43	463	Team 22	Team 1
43	464	Team 21	Team 2
43	465	Team 3	Team 20
43	466	Team 19	Team 4
43	467	Team 5	Team 18
43	468	Team 17	Team 6
43	469	Team 7	Team 16
43	470	Team 15	Team 8
43	471	Team 9	Team 14
43	472	Team 13	Team 10
43	473	Team 11	Team 12
44	474	Team 2	Team 22
44	475	Team 1	Team 3
44	476	Team 4	Team 21
44	477	Team 20	Team 5
44	478	Team 6	Team 19
44	479	Team 18	Team 7
44	480	Team 8	Team 17
44	481	Team 16	Team 9
44	482	Team 10	Team 15
44	483	Team 14	Team 11
44	484	Team 12	Team 13
45	485	Team 22	Team 3
45	486	Team 2	Team 4
45	487	Team 5	Team 1
45	488	Team 21	Team 6
45	489	Team 7	Team 20
45	490	Team 19	Team 8
45	491	Team 9	Team 18
45	492	Team 17	Team 10
45	493	Team 11	Team 16
45	494	Team 15	Team 12
45	495	Team 13	Team 14
46	496	Team 4	Team 22
46	497	Team 3	Team 5
46	498	Team 6	Team 2
46	499	Team 1	Team 7
46	500	Team 8	Team 21
46	501	Team 20	Team 9
46	502	Team 10	Team 19
46	503	Team 18	Team 11
46	504	Team 12	Team 17
46	505	Team 16	Team 13
46	506	Team 14	Team 15
47	507	Team 22	Team 5
47	508	Team 4	Team 6
47	509	Team 7	Team 3
47	510	Team 2	Team 8
47	511	Team 9	Team 1
47	512	Team 21	Team 10
47	513	Team 11	Team 20
47	514	Team 19	Team 12
47	515	Team 13	Team 18
47	516	Team 17	Team 14
47	517	Team 15	Team 16
48	518	Team 6	Team 22
48	519	Team 5	Team 7
48	520	Team 8	Team 4
48	521	Team 3	Team 9
48	522	Team 10	Team 2
48	523	Team 1	Team 11
48	524	Team 12	Team 21
48	525	Team 20	Team 13
48	526	Team 14	Team 19
48	527	Team 18	Team 15
48	528	Team 16	Team 17
49	529	Team 22	Team 7
49	530	Team 6	Team 8
49	531	Team 9	Team 5
49	532	Team 4	Team 10
49	533	Team 11	Team 3
49	534	Team 2	Team 12
49	535	Team 13	Team 1
49	536	Team 21	Team 14
49	537	Team 15	Team 20
49	538	Team 19	Team 16
49	539	Team 17	Team 18
50	540	Team 8	Team 22
50	541	Team 7	Team 9
50	542	Team 10	Team 6
50	543	Team 5	Team 11
50	544	Team 12	Team 4
50	545	Team 3	Team 13
50	546	Team 14	Team 2
50	547	Team 1	Team 15
50	548	Team 16	Team 21
50	549	Team 20	Team 17
50	550	Team 18	Team 19
51	551	Team 22	Team 9
51	552	Team 8	Team 10
51	553	Team 11	Team 7
51	554	Team 6	Team 12
51	555	Team 13	Team 5
51	556	Team 4	Team 14
51	557	Team 15	Team 3
51	558	Team 2	Team 16
51	559	Team 17	Team 1
51	560	Team 21	Team 18
51	561	Team 19	Team 20
52	562	Team 10	Team 22
52	563	Team 9	Team 11
52	564	Team 12	Team 8
52	565	Team 7	Team 13
52	566	Team 14	Team 6
52	567	Team 5	Team 15
52	568	Team 16	Team 4
52	569	Team 3	Team 17
52	570	Team 18	Team 2
52	571	Team 1	Team 19
52	572	Team 20	Team 21
53	573	Team 22	Team 11
53	574	Team 10	Team 12
53	575	Team 13	Team 9
53	576	Team 8	Team 14
53	577	Team 15	Team 7
53	578	Team 6	Team 16
53	579	Team 17	Team 5
53	580	Team 4	Team 18
53	581	Team 19	Team 3
53	582	Team 2	Team 20
53	583	Team 21	Team 1
54	584	Team 12	Team 22
54	585	Team 11	Team 13
54	586	Team 14	Team 10
54	587	Team 9	Team 15
54	588	Team 16	Team 8
54	589	Team 7	Team 17
54	590	Team 18	Team 6
54	591	Team 5	Team 19
54	592	Team 20	Team 4
54	593	Team 3	Team 21
54	594	Team 1	Team 2
