Rk	Pos		Age	G	PA	AB	R	H	2B	3B	HR	RBI	SB	CS	BB	SO	BA	OBP	SLG	OPS	OPS+	TB	GDP	HBP	SH	SF	IBB
1	C	Brian Schneider*	26	108	377	335	34	77	26	1	9	46	0	2	37	75	.230	.309	.394	.703	78	132	12	2	1	2	8
2	1B	Wil Cordero	31	130	492	436	57	121	27	0	16	71	1	1	49	90	.278	.354	.450	.803	104	196	11	4	0	3	5
3	2B	Jose Vidro#	28	144	592	509	77	158	36	0	15	65	3	2	69	50	.310	.397	.470	.866	121	239	16	7	2	5	6
4	SS	Orlando Cabrera	28	162	691	626	95	186	47	2	17	80	24	2	52	64	.297	.347	.460	.807	105	288	18	1	3	9	3
5	3B	Jamey Carroll	29	105	260	227	31	59	10	1	1	10	5	2	19	39	.260	.323	.326	.649	67	74	10	3	9	2	0
6	LF	Brad Wilkerson*	26	146	602	504	78	135	34	4	19	77	13	10	89	155	.268	.380	.464	.844	115	234	5	4	2	3	0
7	CF	Endy Chavez*	25	141	526	483	66	121	25	5	5	47	18	7	31	59	.251	.294	.354	.648	65	171	7	0	9	3	3
8	RF	Vladimir Guerrero	28	112	467	394	71	130	20	3	25	79	9	5	63	53	.330	.426	.586	1.012	156	231	18	6	0	4	22
9	OF	Ron Calloway*	26	126	369	340	36	81	17	1	9	52	9	2	20	80	.238	.282	.374	.656	66	127	13	2	4	3	1
10	UT	Jose Macias#	31	111	288	272	31	65	15	2	4	22	4	3	11	45	.239	.273	.353	.626	59	96	5	2	2	1	1
11	C	Michael Barrett	26	70	252	226	33	47	9	2	10	30	0	0	21	37	.208	.280	.398	.678	71	90	6	2	2	1	7
12	3B	Fernando Tatis	28	53	196	175	15	34	6	0	2	15	2	1	18	40	.194	.281	.263	.543	41	46	7	3	0	0	0
13	2B	Henry Mateo#	26	100	169	154	29	37	3	1	0	7	11	1	11	38	.240	.304	.273	.576	49	42	0	3	1	0	0
14	3B	Edwards Guzman*	26	52	155	146	15	35	5	0	1	14	0	0	5	17	.240	.263	.295	.558	43	43	6	0	3	1	2
15	3B	Todd Zeile	37	34	127	113	11	29	2	2	5	19	1	0	10	18	.257	.331	.442	.773	96	50	3	3	0	1	0
16	1B	Jeff Liefer*	28	35	92	88	6	17	3	0	3	18	0	1	3	26	.193	.217	.330	.547	37	29	2	0	0	1	0
17	UT	Joe Vitiello	33	38	86	76	12	26	6	0	3	13	0	0	7	14	.342	.407	.539	.946	140	41	1	2	0	1	0
