POS	Name	Age	Year	B	G	Avg	OBP	SLG	OPS	AB	R	H	2B	3B	HR	RBI	BB	SO	HBP	SB	FLD%	A	RF	Spd	Fire	EN
OF(OF)	Cuyler, Kiki >>	31	1929	R	139	.360	.438	.532	.970	509	111	183	29	7	15	102	66	56	5	43	.974	+	2.2	8	10	12
OF(OF)	Stephenson, Riggs # >>	31	1929	R	136	.362	.445	.562	1.007	495	91	179	36	6	17	110	67	21	7	10	.984	-	1.9	5	11	11
2B(IF)	Hornsby, Rogers * >>	33	1929	R	156	.380	.459	.679	1.138	602	156	229	47	8	39	149	87	65	1	2	.973	-	5.3	4	13	200
OF(OF)	Wilson, Hack * >>	30	1930	R	155	.356	.454	.723	1.177	585	146	208	35	6	56	191	105	84	1	3	.951	-	2.4	4	18	200
C(1B)	Hartnett, Gabby >>	30	1930	R	141	.339	.404	.630	1.034	508	84	172	31	3	37	122	55	62	1	0	.989	+	5.1	2	14	14
1B(1B)	Chance, Frank >>	30	1906	R	136	.319	.419	.430	.849	474	103	151	24	10	3	71	70	10	12	57	.989	-	10.7	9	7	11
3B(SS)	English, Woody >>	24	1930	R	156	.335	.430	.511	.941	638	152	214	36	17	14	59	100	72	6	3	.967	-	4.1	6	9	200
SS(IF)	Hollocher, Charlie >>	22	1918	L	131	.316	.379	.397	.776	509	72	161	23	6	2	38	47	30	4	26	.929	-	5.3	7	7	200
3B(2B)	Steinfeldt, Harry >>	29	1906	R	151	.327	.395	.430	.825	539	81	176	27	10	3	83	47	10	14	29	.954	-	2.7	8	7	53
OF(OF)	Northey, Ron >>	28	1948	L	96	.321	.420	.528	.948	246	40	79	10	1	13	64	38	25	4	0	.989	-	0.9	2	13	6
C(OF)	Kling, Johnny >>	31	1906	R	107	.312	.357	.420	.777	343	45	107	15	8	2	46	23	10	1	14	.982	+	6.0	8	7	5
