Role	Name	Age	Year	T	W	L	ERA	IP	H	BB	SO	CG	SV	WP	WHIP	H/9	BB/9	SO/9	Stamina	Fire
SP	Whitney, Jim >>	27	1884	R	23	14	2.09	336	272	27	270	35	0	18	0.89	7.3	0.7	7.2	137	17
SP	Buffinton, Charlie >>	23	1884	R	48	16	2.15	587	506	76	417	63	0	24	0.99	7.8	1.2	6.4	140	16
SP	Maddux, Greg >>	32	1998	R	18	9	2.22	251	201	45	204	9	0	4	0.98	7.2	1.6	7.3	121	17
SP	Glavine, Tom # >>	32	1998	L	20	6	2.47	229	202	74	157	4	0	3	1.21	7.9	2.9	6.2	105	16
SP	Neagle, Denny >>	30	1998	L	16	11	3.55	210	196	60	165	5	0	6	1.22	8.4	2.6	7.1	107	17
CL	Ligtenberg, Kerry >>	27	1998	R	3	2	2.71	73	51	24	79	0	30	3	1.03	6.3	3.0	9.7	25	19
SU	Seanez, Rudy >>	30	1998	R	4	1	2.75	36	25	16	50	0	2	2	1.14	6.3	4.0	12.5	25	22
RP	Rocker, John >>	24	1998	L	1	3	2.13	38	22	22	42	0	2	6	1.16	5.2	5.2	9.9	25	20
RP	Smoltz, John >>	36	2003	R	0	2	1.12	64	48	8	73	0	45	2	0.88	6.8	1.1	10.3	21	20
RP	King, Ray >>	29	2003	L	3	4	3.51	59	46	27	43	0	0	4	1.24	7.0	4.1	6.6	25	17
SP	Ortiz, Russ >>	29	2003	R	21	7	3.81	212	177	102	149	1	0	5	1.32	7.5	4.3	6.3	107	16
RP	Martinez, Dennis >>	43	1998	R	4	6	4.45	91	109	19	62	1	2	2	1.41	10.8	1.9	6.1	20	16
