POS	Name	Age	Year	B	G	Avg	OBP	SLG	OPS	AB	R	H	2B	3B	HR	RBI	BB	SO	HBP	SB	FLD%	A	RF	Spd	Fire	EN
C(OF)	Tenace, Gene >>	25	1971	R	65	.274	.381	.430	.811	179	26	49	7	0	7	25	29	34	2	2	.994	-	4.9	2	14	5
OF(OF)	Simmons, Al >>	27	1929	R	143	.365	.398	.642	1.040	581	114	212	41	9	34	157	31	38	1	4	.989	+	2.6	5	13	16
OF(DH)	Henderson, Rickey * >>	32	1990	R	136	.325	.441	.577	1.018	489	119	159	33	3	28	61	97	60	4	65	.983	-	2.2	9	14	8
1B(3B)	Foxx, Jimmie # >>	22	1929	R	149	.354	.463	.625	1.088	517	123	183	23	9	33	118	103	70	2	9	.995	-	8.9	6	13	33
SS(3B)	Dykes, Jimmie # >>	33	1929	R	119	.327	.412	.539	.951	401	76	131	34	6	13	79	51	25	7	8	.935	-	4.0	6	10	6
2B(IF)	Collins, Eddie >>	23	1910	L	153	.324	.382	.418	.800	581	81	188	16	15	3	81	49	10	6	81	.972	-	5.6	9	7	156
OF(OF)	Miller, Bing # >>	35	1929	R	147	.331	.380	.489	.869	556	84	184	32	16	8	93	40	25	4	24	.970	-	2.2	8	8	24
C(1B)	Cochrane, Mickey # >>	26	1929	L	135	.331	.412	.475	.887	514	113	170	37	8	7	95	69	8	2	7	.983	+	5.5	5	8	10
3B(IF)	Bando, Sal >>	27	1971	R	153	.271	.380	.452	.832	538	75	146	23	1	24	94	86	55	8	3	.971	-	2.7	2	11	20
OF(OF)	McGee, Willie # >>	32	1990	S	154	.324	.374	.419	.793	614	99	199	35	7	3	77	48	104	1	31	.962	+	5.5	7	7	22
OF(DH)	Canseco, Jose # >>	26	1990	R	131	.274	.375	.543	.918	481	83	132	14	2	37	101	72	158	5	19	.995	-	1.4	6	16	7
3B(IF)	Baker, Frank >>	24	1910	L	146	.283	.329	.392	.721	561	83	159	25	15	2	74	34	10	4	21	.920	-	3.6	8	7	21
OF(OF)	Jackson, Reggie # >>	25	1971	L	150	.277	.355	.508	.863	567	87	157	29	3	32	80	63	161	6	16	.977	+	2.0	5	13	16
1B(DH)	McGwire, Mark # >>	27	1990	R	156	.235	.375	.489	.864	523	87	123	16	0	39	108	110	116	7	2	.997	-	9.1	2	14	29
