Role	Name	Age	Year	T	W	L	ERA	IP	H	BB	SO	CG	SV	WP	WHIP	H/9	BB/9	SO/9	Stamina	Fire
SP	Whitney, Jim * >>	27	1884	R	23	14	2.09	336	272	27	270	35	0	18	0.89	7.3	0.7	7.2	139	17
SP	Maddux, Greg * >>	32	1998	R	18	9	2.22	251	201	45	204	9	0	4	0.98	7.2	1.6	7.3	124	17
SP	Buffinton, Charlie >>	23	1884	R	48	16	2.15	587	506	76	417	63	0	24	0.99	7.8	1.2	6.4	140	16
SP	Smoltz, John >>	31	1998	R	17	3	2.90	167	145	44	173	2	0	3	1.13	7.8	2.4	9.3	106	19
SP	Minor, Mike >>	24	2012	L	11	10	4.12	179	151	56	145	0	0	3	1.16	7.6	2.8	7.3	88	17
RP	Kimbrel, Craig >>	24	2012	R	3	1	1.01	62	27	14	116	0	42	5	0.66	3.9	2.0	16.8	25	29
RP	Medlen, Kris >>	26	2012	R	10	1	1.57	138	103	23	120	2	1	3	0.91	6.7	1.5	7.8	39	18
RP	Beachy, Brandon >>	25	2012	R	5	5	2.00	81	49	29	68	1	0	4	0.96	5.4	3.2	7.6	40	17
RP	Avilan, Luis >>	22	2012	L	1	0	2.00	36	27	10	33	0	0	3	1.03	6.8	2.5	8.3	25	18
RP	Ligtenberg, Kerry >>	27	1998	R	3	2	2.71	73	51	24	79	0	30	3	1.03	6.3	3.0	9.7	25	19
RP	O'Flaherty, Eric >>	27	2012	L	3	0	1.73	57	47	19	46	0	0	1	1.16	7.4	3.0	7.3	25	17
SP	Maholm, Paul >>	30	2012	L	13	11	3.67	189	178	53	140	1	0	5	1.22	8.5	2.5	6.7	88	16
RP	Rocker, John >>	24	1998	L	1	3	2.13	38	22	22	42	0	2	6	1.16	5.2	5.2	9.9	25	20
