POS	Name	Age	Year	B	G	Avg	OBP	SLG	OPS	AB	R	H	2B	3B	HR	RBI	BB	SO	HBP	SB	FLD%	A	RF	Spd	Fire	EN
2B(1B)	Carew, Rod * >>	25	1970	L	51	.366	.407	.524	.931	191	27	70	12	3	4	28	11	28	2	4	.962	-	3.9	6	11	4
OF(OF)	Manush, Heinie >>	29	1930	L	137	.350	.385	.531	.916	554	100	194	49	12	9	94	31	24	0	7	.989	+	3.9	6	8	11
C(DH)	Mauer, Joe >>	23	2006	L	140	.347	.434	.507	.941	521	86	181	36	4	13	84	79	54	1	8	.996	-	6.5	4	9	9
SS(IF)	Cronin, Joe * >>	24	1930	R	154	.346	.422	.513	.935	587	127	203	41	9	13	126	72	36	5	17	.960	-	5.5	7	9	200
OF(OF)	Rice, Sam >>	40	1930	L	147	.349	.407	.457	.864	593	121	207	35	13	1	73	55	14	3	13	.963	-	2.1	7	7	24
1B(DH)	Morneau, Justin >>	25	2006	L	157	.321	.382	.559	.941	592	97	190	37	1	34	130	53	93	5	3	.994	-	9.0	2	13	34
3B(1B)	Killebrew, Harmon >>	34	1970	R	157	.271	.416	.546	.962	527	96	143	20	1	41	113	128	84	2	0	.963	-	3.3	2	15	34
OF(OF)	Oliva, Tony >>	32	1970	L	157	.325	.366	.514	.880	628	96	204	36	7	23	107	38	67	3	5	.968	-	2.3	4	10	34
OF(OF)	West, Sam >>	26	1930	L	120	.328	.385	.474	.859	411	75	135	22	10	6	67	37	34	1	5	.972	-	2.7	7	8	7
OF(2B)	Tovar, Cesar >>	30	1970	R	161	.300	.359	.442	.801	650	120	195	36	13	10	54	52	47	8	30	.967	+	2.6	8	8	164
OF(OF)	Milan, Clyde >>	26	1913	L	154	.301	.367	.378	.745	579	92	174	18	9	3	54	58	25	3	75	.932	+	2.1	9	7	200
OF(OF)	Goslin, Goose * # >>	30	1930	L	148	.308	.382	.601	.983	584	115	180	36	12	37	138	67	54	3	17	.964	+	4.4	7	14	28
2B(OF)	Myer, Buddy >>	26	1930	L	138	.303	.373	.377	.750	541	97	164	18	8	2	61	58	31	2	14	.965	-	5.3	6	7	12
1B(1B)	Judge, Joe >>	36	1930	L	126	.326	.410	.509	.919	442	83	144	29	11	10	80	60	29	3	13	.998	-	8.9	7	9	8
