Role	Name	Age	Year	T	W	L	ERA	IP	H	BB	SO	CG	SV	WP	WHIP	H/9	BB/9	SO/9	Stamina	Fire
SP	Ford, Whitey # >>	33	1961	L	25	4	3.21	283	242	92	209	11	0	8	1.18	7.7	2.9	6.6	122	16
SP	Cone, David # >>	35	1998	R	20	7	3.55	207	186	59	209	3	0	6	1.18	8.1	2.6	9.1	108	19
SP	Hoyt, Waite # >>	28	1927	R	22	7	2.63	256	242	54	86	23	1	1	1.16	8.5	1.9	3.0	123	13
SP	Moore, Wilcy # >>	30	1927	R	19	7	2.28	213	185	59	75	6	13	4	1.15	7.8	2.5	3.2	72	13
SP	Terry, Ralph # >>	25	1961	R	16	3	3.15	188	162	42	86	9	0	0	1.09	7.8	2.0	4.1	108	14
RP	Arroyo, Luis >>	34	1961	L	15	5	2.19	119	83	49	87	0	29	4	1.11	6.3	3.7	6.6	23	16
RP	Mendoza, Ramiro >>	26	1998	R	10	2	3.25	130	131	30	56	1	1	3	1.24	9.1	2.1	3.9	59	14
RP	Coates, Jim * >>	29	1961	R	11	5	3.44	141	128	53	80	4	5	2	1.28	8.2	3.4	5.1	55	15
SU	Lloyd, Graeme >>	31	1998	L	3	0	1.67	37	26	6	20	0	0	2	0.86	6.3	1.5	4.9	25	15
CL	Rivera, Mariano >>	29	1998	R	3	0	1.91	61	48	17	36	0	36	0	1.07	7.1	2.5	5.3	21	16
