POS	Name	Age	Year	B	G	Avg	OBP	SLG	OPS	AB	R	H	2B	3B	HR	RBI	BB	SO	HBP	SB	FLD%	A	RF	Spd	Fire	EN
1B(DH)	Olerud, John >>	25	1993	L	158	.363	.478	.599	1.077	551	109	200	54	2	24	107	114	65	7	0	.992	-	8.0	2	11	42
2B(IF)	Alomar, Roberto * >>	25	1993	S	153	.326	.411	.492	.903	589	109	192	35	6	17	93	80	67	5	55	.980	-	4.5	8	10	20
OF(OF)	Wells, Vernon >>	25	2003	R	161	.317	.363	.550	.913	678	118	215	49	5	33	117	42	80	7	4	.990	-	2.4	3	12	164
OF(OF)	Barfield, Jesse >>	26	1985	R	155	.289	.371	.536	.907	539	94	156	34	9	27	84	66	143	4	22	.989	+	2.4	7	12	25
OF(DH)	Carter, Joe >>	33	1993	R	155	.254	.317	.489	.806	603	92	153	33	5	33	121	47	113	9	8	.974	-	1.9	4	12	25
1B(DH)	Delgado, Carlos >>	31	2003	L	161	.302	.430	.593	1.023	570	117	172	38	1	42	145	109	137	19	0	.993	-	9.0	2	15	164
3B(2B)	Iorg, Garth >>	31	1985	R	131	.313	.359	.469	.828	288	33	90	22	1	7	37	21	26	0	3	.967	-	2.0	3	10	7
C(DH)	Myers, Greg >>	37	2003	L	121	.307	.377	.502	.879	329	51	101	19	0	15	52	37	57	0	0	.982	-	3.5	1	12	6
2B(3B)	Fernandez, Tony >>	36	1998	S	138	.321	.391	.459	.850	486	71	156	36	2	9	72	45	53	11	13	.972	-	3.3	5	9	9
DH(1B)	Molitor, Paul # >>	37	1993	R	160	.332	.406	.509	.915	636	121	211	37	5	22	111	77	71	3	22	.985	-	1.2	6	10	83
OF(OF)	White, Devon >>	31	1993	S	146	.273	.343	.438	.781	598	116	163	42	6	15	52	57	127	7	34	.993	-	2.8	7	10	12
OF(OF)	Henderson, Rickey >>	35	1993	R	134	.289	.435	.474	.909	481	114	139	22	2	21	59	120	65	4	53	.974	-	3.9	8	12	8
3B(IF)	Hinske, Eric >>	26	2003	L	124	.243	.332	.437	.769	449	74	109	45	3	12	63	59	104	1	12	.930	-	2.4	5	10	6
