Role	Name	Age	Year	T	W	L	ERA	IP	H	BB	SO	CG	SV	WP	WHIP	H/9	BB/9	SO/9	Stamina	Fire
RP	Motte, Jason >>	30	2012	R	4	5	2.75	72	49	17	86	0	42	0	0.92	6.1	2.1	10.8	25	20
RP	DiPino, Frank >>	34	1990	L	5	2	4.56	81	92	31	49	0	3	2	1.52	10.2	3.4	5.4	24	15
SP	Lohse, Kyle >>	34	2012	R	16	3	2.86	211	192	38	143	0	0	1	1.09	8.2	1.6	6.1	104	16
SP	Andujar, Joaquin >>	30	1982	R	15	10	2.47	265	237	50	137	9	0	3	1.08	8.0	1.7	4.7	104	14
SP	DeLeon, Jose >>	30	1990	R	7	19	4.43	182	168	86	164	0	0	5	1.40	8.3	4.3	8.1	93	18
SP	Lynn, Lance >>	25	2012	R	18	7	3.78	176	168	64	180	0	0	3	1.32	8.6	3.3	9.2	88	19
RP	Sutter, Bruce >>	29	1982	R	9	8	2.90	102	88	34	61	0	36	5	1.20	7.8	3.0	5.4	20	15
SP	Wainwright, Adam >>	31	2012	R	14	13	3.94	198	196	52	184	3	0	5	1.25	8.9	2.4	8.4	106	18
SP	Carpenter, Chris >>	31	2006	R	15	8	3.09	221	194	43	184	5	0	3	1.07	7.9	1.8	7.5	109	17
RP	Bair, Doug >>	33	1982	R	5	3	2.55	91	69	36	68	0	8	2	1.15	6.8	3.6	6.7	24	16
RP	Smith, Lee >>	33	1990	R	5	5	2.06	83	71	29	87	0	31	2	1.20	7.7	3.1	9.4	22	19
RP	Isringhausen, Jason >>	34	2006	R	4	8	3.55	58	47	38	52	0	33	3	1.47	7.3	5.9	8.1	25	18
