Role	Name	Age	Year	T	W	L	ERA	IP	H	BB	SO	CG	SV	WP	WHIP	H/9	BB/9	SO/9	Stamina	Fire
SP	Sabathia, CC >>	30	2010	L	21	7	3.18	237	209	74	197	2	0	8	1.19	7.9	2.8	7.5	110	17
SP	Kuroda, Hiroki >>	37	2012	R	16	11	3.32	219	205	51	167	3	0	13	1.17	8.4	2.1	6.9	108	16
SP	Clemens, Roger >>	38	2000	R	13	8	3.70	204	184	84	188	1	0	2	1.31	8.1	3.7	8.3	109	18
SP	Nova, Ivan >>	25	2012	R	12	8	5.02	170	194	56	153	0	0	6	1.47	10.3	3.0	8.1	110	18
SP	Burnett, A.J. >>	33	2010	R	10	15	5.26	186	204	78	145	1	0	16	1.52	9.9	3.8	7.0	88	17
RP	Robertson, David >>	27	2012	R	2	7	2.67	60	52	19	81	0	2	1	1.18	7.8	2.9	12.2	25	23
RP	Erdos, Todd >>	27	2000	R	0	0	5.93	54	63	28	34	0	2	2	1.69	10.5	4.7	5.7	25	15
RP	Chamberlain, Joba >>	25	2010	R	3	4	4.40	71	71	22	77	0	3	5	1.31	9.0	2.8	9.8	25	21
SU	Gooden, Dwight >>	36	2000	R	6	5	4.71	105	119	44	55	0	2	5	1.55	10.2	3.8	4.7	56	15
RP	Soriano, Rafael >>	33	2012	R	2	1	2.26	67	55	24	69	0	42	3	1.18	7.4	3.2	9.3	25	19
CL	Rivera, Mariano >>	31	2000	R	7	4	2.85	75	58	25	58	0	36	2	1.11	7.0	3.0	7.0	22	17
SP	Hughes, Phil >>	26	2012	R	16	13	4.23	191	196	46	165	1	0	3	1.27	9.2	2.2	7.8	90	17
