Round	Game #	Home Team	Visitor Team
1	1	Team 2	Team 23
1	2	Team 22	Team 3
1	3	Team 4	Team 21
1	4	Team 20	Team 5
1	5	Team 6	Team 19
1	6	Team 18	Team 7
1	7	Team 8	Team 17
1	8	Team 16	Team 9
1	9	Team 10	Team 15
1	10	Team 14	Team 11
1	11	Team 12	Team 13
2	12	Team 3	Team 1
2	13	Team 23	Team 4
2	14	Team 5	Team 22
2	15	Team 21	Team 6
2	16	Team 7	Team 20
2	17	Team 19	Team 8
2	18	Team 9	Team 18
2	19	Team 17	Team 10
2	20	Team 11	Team 16
2	21	Team 15	Team 12
2	22	Team 13	Team 14
3	23	Team 4	Team 2
3	24	Team 1	Team 5
3	25	Team 6	Team 23
3	26	Team 22	Team 7
3	27	Team 8	Team 21
3	28	Team 20	Team 9
3	29	Team 10	Team 19
3	30	Team 18	Team 11
3	31	Team 12	Team 17
3	32	Team 16	Team 13
3	33	Team 14	Team 15
4	34	Team 5	Team 3
4	35	Team 2	Team 6
4	36	Team 7	Team 1
4	37	Team 23	Team 8
4	38	Team 9	Team 22
4	39	Team 21	Team 10
4	40	Team 11	Team 20
4	41	Team 19	Team 12
4	42	Team 13	Team 18
4	43	Team 17	Team 14
4	44	Team 15	Team 16
5	45	Team 6	Team 4
5	46	Team 3	Team 7
5	47	Team 8	Team 2
5	48	Team 1	Team 9
5	49	Team 10	Team 23
5	50	Team 22	Team 11
5	51	Team 12	Team 21
5	52	Team 20	Team 13
5	53	Team 14	Team 19
5	54	Team 18	Team 15
5	55	Team 16	Team 17
6	56	Team 7	Team 5
6	57	Team 4	Team 8
6	58	Team 9	Team 3
6	59	Team 2	Team 10
6	60	Team 11	Team 1
6	61	Team 23	Team 12
6	62	Team 13	Team 22
6	63	Team 21	Team 14
6	64	Team 15	Team 20
6	65	Team 19	Team 16
6	66	Team 17	Team 18
7	67	Team 8	Team 6
7	68	Team 5	Team 9
7	69	Team 10	Team 4
7	70	Team 3	Team 11
7	71	Team 12	Team 2
7	72	Team 1	Team 13
7	73	Team 14	Team 23
7	74	Team 22	Team 15
7	75	Team 16	Team 21
7	76	Team 20	Team 17
7	77	Team 18	Team 19
8	78	Team 9	Team 7
8	79	Team 6	Team 10
8	80	Team 11	Team 5
8	81	Team 4	Team 12
8	82	Team 13	Team 3
8	83	Team 2	Team 14
8	84	Team 15	Team 1
8	85	Team 23	Team 16
8	86	Team 17	Team 22
8	87	Team 21	Team 18
8	88	Team 19	Team 20
9	89	Team 10	Team 8
9	90	Team 7	Team 11
9	91	Team 12	Team 6
9	92	Team 5	Team 13
9	93	Team 14	Team 4
9	94	Team 3	Team 15
9	95	Team 16	Team 2
9	96	Team 1	Team 17
9	97	Team 18	Team 23
9	98	Team 22	Team 19
9	99	Team 20	Team 21
10	100	Team 11	Team 9
10	101	Team 8	Team 12
10	102	Team 13	Team 7
10	103	Team 6	Team 14
10	104	Team 15	Team 5
10	105	Team 4	Team 16
10	106	Team 17	Team 3
10	107	Team 2	Team 18
10	108	Team 19	Team 1
10	109	Team 23	Team 20
10	110	Team 21	Team 22
11	111	Team 12	Team 10
11	112	Team 9	Team 13
11	113	Team 14	Team 8
11	114	Team 7	Team 15
11	115	Team 16	Team 6
11	116	Team 5	Team 17
11	117	Team 18	Team 4
11	118	Team 3	Team 19
11	119	Team 20	Team 2
11	120	Team 1	Team 21
11	121	Team 22	Team 23
12	122	Team 13	Team 11
12	123	Team 10	Team 14
12	124	Team 15	Team 9
12	125	Team 8	Team 16
12	126	Team 17	Team 7
12	127	Team 6	Team 18
12	128	Team 19	Team 5
12	129	Team 4	Team 20
12	130	Team 21	Team 3
12	131	Team 2	Team 22
12	132	Team 23	Team 1
13	133	Team 14	Team 12
13	134	Team 11	Team 15
13	135	Team 16	Team 10
13	136	Team 9	Team 17
13	137	Team 18	Team 8
13	138	Team 7	Team 19
13	139	Team 20	Team 6
13	140	Team 5	Team 21
13	141	Team 22	Team 4
13	142	Team 3	Team 23
13	143	Team 1	Team 2
14	144	Team 15	Team 13
14	145	Team 12	Team 16
14	146	Team 17	Team 11
14	147	Team 10	Team 18
14	148	Team 19	Team 9
14	149	Team 8	Team 20
14	150	Team 21	Team 7
14	151	Team 6	Team 22
14	152	Team 23	Team 5
14	153	Team 4	Team 1
14	154	Team 2	Team 3
15	155	Team 16	Team 14
15	156	Team 13	Team 17
15	157	Team 18	Team 12
15	158	Team 11	Team 19
15	159	Team 20	Team 10
15	160	Team 9	Team 21
15	161	Team 22	Team 8
15	162	Team 7	Team 23
15	163	Team 1	Team 6
15	164	Team 5	Team 2
15	165	Team 3	Team 4
16	166	Team 17	Team 15
16	167	Team 14	Team 18
16	168	Team 19	Team 13
16	169	Team 12	Team 20
16	170	Team 21	Team 11
16	171	Team 10	Team 22
16	172	Team 23	Team 9
16	173	Team 8	Team 1
16	174	Team 2	Team 7
16	175	Team 6	Team 3
16	176	Team 4	Team 5
17	177	Team 18	Team 16
17	178	Team 15	Team 19
17	179	Team 20	Team 14
17	180	Team 13	Team 21
17	181	Team 22	Team 12
17	182	Team 11	Team 23
17	183	Team 1	Team 10
17	184	Team 9	Team 2
17	185	Team 3	Team 8
17	186	Team 7	Team 4
17	187	Team 5	Team 6
18	188	Team 19	Team 17
18	189	Team 16	Team 20
18	190	Team 21	Team 15
18	191	Team 14	Team 22
18	192	Team 23	Team 13
18	193	Team 12	Team 1
18	194	Team 2	Team 11
18	195	Team 10	Team 3
18	196	Team 4	Team 9
18	197	Team 8	Team 5
18	198	Team 6	Team 7
19	199	Team 20	Team 18
19	200	Team 17	Team 21
19	201	Team 22	Team 16
19	202	Team 15	Team 23
19	203	Team 1	Team 14
19	204	Team 13	Team 2
19	205	Team 3	Team 12
19	206	Team 11	Team 4
19	207	Team 5	Team 10
19	208	Team 9	Team 6
19	209	Team 7	Team 8
20	210	Team 21	Team 19
20	211	Team 18	Team 22
20	212	Team 23	Team 17
20	213	Team 16	Team 1
20	214	Team 2	Team 15
20	215	Team 14	Team 3
20	216	Team 4	Team 13
20	217	Team 12	Team 5
20	218	Team 6	Team 11
20	219	Team 10	Team 7
20	220	Team 8	Team 9
21	221	Team 22	Team 20
21	222	Team 19	Team 23
21	223	Team 1	Team 18
21	224	Team 17	Team 2
21	225	Team 3	Team 16
21	226	Team 15	Team 4
21	227	Team 5	Team 14
21	228	Team 13	Team 6
21	229	Team 7	Team 12
21	230	Team 11	Team 8
21	231	Team 9	Team 10
22	232	Team 23	Team 21
22	233	Team 20	Team 1
22	234	Team 2	Team 19
22	235	Team 18	Team 3
22	236	Team 4	Team 17
22	237	Team 16	Team 5
22	238	Team 6	Team 15
22	239	Team 14	Team 7
22	240	Team 8	Team 13
22	241	Team 12	Team 9
22	242	Team 10	Team 11
23	243	Team 1	Team 22
23	244	Team 21	Team 2
23	245	Team 3	Team 20
23	246	Team 19	Team 4
23	247	Team 5	Team 18
23	248	Team 17	Team 6
23	249	Team 7	Team 16
23	250	Team 15	Team 8
23	251	Team 9	Team 14
23	252	Team 13	Team 10
23	253	Team 11	Team 12
24	254	Team 23	Team 2
24	255	Team 3	Team 22
24	256	Team 21	Team 4
24	257	Team 5	Team 20
24	258	Team 19	Team 6
24	259	Team 7	Team 18
24	260	Team 17	Team 8
24	261	Team 9	Team 16
24	262	Team 15	Team 10
24	263	Team 11	Team 14
24	264	Team 13	Team 12
25	265	Team 1	Team 3
25	266	Team 4	Team 23
25	267	Team 22	Team 5
25	268	Team 6	Team 21
25	269	Team 20	Team 7
25	270	Team 8	Team 19
25	271	Team 18	Team 9
25	272	Team 10	Team 17
25	273	Team 16	Team 11
25	274	Team 12	Team 15
25	275	Team 14	Team 13
26	276	Team 2	Team 4
26	277	Team 5	Team 1
26	278	Team 23	Team 6
26	279	Team 7	Team 22
26	280	Team 21	Team 8
26	281	Team 9	Team 20
26	282	Team 19	Team 10
26	283	Team 11	Team 18
26	284	Team 17	Team 12
26	285	Team 13	Team 16
26	286	Team 15	Team 14
27	287	Team 3	Team 5
27	288	Team 6	Team 2
27	289	Team 1	Team 7
27	290	Team 8	Team 23
27	291	Team 22	Team 9
27	292	Team 10	Team 21
27	293	Team 20	Team 11
27	294	Team 12	Team 19
27	295	Team 18	Team 13
27	296	Team 14	Team 17
27	297	Team 16	Team 15
28	298	Team 4	Team 6
28	299	Team 7	Team 3
28	300	Team 2	Team 8
28	301	Team 9	Team 1
28	302	Team 23	Team 10
28	303	Team 11	Team 22
28	304	Team 21	Team 12
28	305	Team 13	Team 20
28	306	Team 19	Team 14
28	307	Team 15	Team 18
28	308	Team 17	Team 16
29	309	Team 5	Team 7
29	310	Team 8	Team 4
29	311	Team 3	Team 9
29	312	Team 10	Team 2
29	313	Team 1	Team 11
29	314	Team 12	Team 23
29	315	Team 22	Team 13
29	316	Team 14	Team 21
29	317	Team 20	Team 15
29	318	Team 16	Team 19
29	319	Team 18	Team 17
30	320	Team 6	Team 8
30	321	Team 9	Team 5
30	322	Team 4	Team 10
30	323	Team 11	Team 3
30	324	Team 2	Team 12
30	325	Team 13	Team 1
30	326	Team 23	Team 14
30	327	Team 15	Team 22
30	328	Team 21	Team 16
30	329	Team 17	Team 20
30	330	Team 19	Team 18
31	331	Team 7	Team 9
31	332	Team 10	Team 6
31	333	Team 5	Team 11
31	334	Team 12	Team 4
31	335	Team 3	Team 13
31	336	Team 14	Team 2
31	337	Team 1	Team 15
31	338	Team 16	Team 23
31	339	Team 22	Team 17
