Rk	Pos		Age	W	L	W-L%	ERA	G	GS	GF	CG	SHO	SV	IP	H	R	ER	HR	BB	IBB	SO	HBP	BK	WP	BF	ERA+	WHIP	H/9	HR/9	BB/9	SO/9	SO/BB
1	SP	Livan Hernandez	28	15	10	.600	3.20	33	33	0	8	0	0	233.1	225	92	83	27	57	3	178	10	1	6	967	141	1.209	8.7	1.0	2.2	6.9	3.12
2	SP	Javier Vazquez	26	13	12	.520	3.24	34	34	0	4	1	0	230.2	198	93	83	28	57	5	241	4	1	11	938	139	1.105	7.7	1.1	2.2	9.4	4.23
3	SP	Tomo Ohka	27	10	12	.455	4.16	34	34	0	2	0	0	199.0	233	106	92	24	45	11	118	9	0	8	864	108	1.397	10.5	1.1	2.0	5.3	2.62
4	SP	Zach Day	25	9	8	.529	4.18	23	23	0	1	1	0	131.1	132	64	61	8	59	3	61	10	0	13	580	108	1.454	9.0	0.5	4.0	4.2	1.03
5	SP	Claudio Vargas	25	6	8	.429	4.34	23	20	0	0	0	0	114.0	111	59	55	16	41	5	62	7	0	2	492	104	1.333	8.8	1.3	3.2	4.9	1.51
6	CL	Rocky Biddle	27	5	8	.385	4.65	73	0	58	0	0	34	71.2	71	43	37	10	40	5	54	6	0	8	330	97	1.549	8.9	1.3	5.0	6.8	1.35
7	RP	T.J. Tucker	24	2	3	.400	4.73	45	7	7	0	0	0	80.0	90	49	42	8	20	1	47	4	0	1	349	96	1.375	10.1	0.9	2.3	5.3	2.35
8	RP	Luis Ayala	25	10	3	.769	2.92	65	0	24	0	0	5	71.0	65	27	23	8	13	3	46	5	0	1	288	155	1.099	8.2	1.0	1.6	5.8	3.54
9	RP	Joey Eischen*	33	2	2	.500	3.06	70	0	15	0	0	1	53.0	57	27	18	7	13	1	40	3	0	3	221	148	1.321	9.7	1.2	2.2	6.8	3.08
10	RP	Scott Stewart*	27	3	1	.750	3.98	51	0	9	0	0	0	43.0	52	22	19	5	13	4	29	1	1	1	186	114	1.512	10.9	1.0	2.7	6.1	2.23
