Rk	Pos		Age	W	L	W-L%	ERA	G	GS	GF	CG	SHO	SV	IP	H	R	ER	HR	BB	IBB	SO	HBP	BK	WP	BF	ERA+	WHIP	H/9	HR/9	BB/9	SO/9	SO/BB
1	SP	Carl Pavano	27	12	13	.480	4.30	33	32	1	2	0	0	201.0	204	99	96	19	49	10	133	7	2	3	846	98	1.259	9.1	0.9	2.2	6.0	2.71
2	SP	Brad Penny	25	14	10	.583	4.13	32	32	0	0	0	0	196.1	195	96	90	21	56	6	138	3	4	3	811	102	1.278	8.9	1.0	2.6	6.3	2.46
3	SP	Mark Redman*	29	14	9	.609	3.59	29	29	0	3	0	0	190.2	172	82	76	16	61	3	151	5	2	8	802	117	1.222	8.1	0.8	2.9	7.1	2.48
4	SP	Dontrelle Willis*	21	14	6	.700	3.30	27	27	0	2	2	0	160.2	148	61	59	13	58	0	142	3	1	7	668	127	1.282	8.3	0.7	3.2	8.0	2.45
5	SP	Josh Beckett	23	9	8	.529	3.04	24	23	1	0	0	0	142.0	132	54	48	9	56	4	152	2	1	6	601	138	1.324	8.4	0.6	3.5	9.6	2.71
6	CL	Braden Looper	28	6	4	.600	3.68	74	0	64	0	0	28	80.2	82	34	33	4	29	1	56	1	0	2	347	115	1.376	9.1	0.4	3.2	6.2	1.93
7	RP	Michael Tejera*	26	3	4	.429	4.67	50	6	10	0	0	2	81.0	82	44	42	6	36	3	58	1	0	0	353	90	1.457	9.1	0.7	4.0	6.4	1.61
8	RP	Armando Almanza*	30	4	5	.444	6.08	51	0	15	0	0	0	50.1	59	37	34	10	25	2	49	2	1	2	230	70	1.669	10.5	1.8	4.5	8.8	1.96
9	RP	Tim Spooneybarger	23	1	2	.333	4.07	33	0	9	0	0	0	42.0	27	21	19	1	11	0	32	1	0	5	159	104	0.905	5.8	0.2	2.4	6.9	2.91
10	RP	Ugueth Urbina	29	3	0	1.000	1.41	33	0	11	0	0	6	38.1	23	6	6	2	13	0	37	0	0	2	149	301	0.939	5.4	0.5	3.1	8.7	2.85
