Rk	Pos		Age	W	L	W-L%	ERA	G	GS	GF	CG	SHO	SV	IP	H	R	ER	HR	BB	IBB	SO	HBP	BK	WP	BF	ERA+	WHIP	H/9	HR/9	BB/9	SO/9	SO/BB
1	SP	Steve Trachsel	32	16	10	.615	3.78	33	33	0	2	2	0	204.2	204	90	86	26	65	9	111	3	2	5	857	111	1.314	9.0	1.1	2.9	4.9	1.71
2	SP	Jae Weong Seo	26	9	12	.429	3.82	32	31	0	0	0	0	188.1	193	94	80	18	46	11	110	6	0	2	806	110	1.269	9.2	0.9	2.2	5.3	2.39
3	SP	Tom Glavine*	37	9	14	.391	4.52	32	32	0	0	0	0	183.1	205	94	92	21	66	7	82	2	0	2	791	93	1.478	10.1	1.0	3.2	4.0	1.24
4	SP	Al Leiter*	37	15	9	.625	3.99	30	30	0	1	1	0	180.2	176	83	80	15	94	11	139	9	1	5	798	106	1.494	8.8	0.7	4.7	6.9	1.48
5	SP	Aaron Heilman	24	2	7	.222	6.75	14	13	0	0	0	0	65.1	79	53	49	13	41	2	51	3	0	5	315	63	1.837	10.9	1.8	5.6	7.0	1.24
Rk	Pos		Age	W	L	W-L%	ERA	G	GS	GF	CG	SHO	SV	IP	H	R	ER	HR	BB	IBB	SO	HBP	BK	WP	BF	ERA+	WHIP	H/9	HR/9	BB/9	SO/9	SO/BB
6	CL	Armando Benitez	30	3	3	.500	3.10	45	0	40	0	0	21	49.1	41	18	17	5	24	1	50	0	1	3	209	136	1.318	7.5	0.9	4.4	9.1	2.08
7	RP	David Weathers	33	1	6	.143	3.08	77	0	20	0	0	7	87.2	87	33	30	6	40	6	75	6	0	1	384	137	1.449	8.9	0.6	4.1	7.7	1.88
8	RP	Mike Stanton*	36	2	7	.222	4.57	50	0	24	0	0	5	45.1	37	25	23	6	19	4	34	2	1	2	194	93	1.235	7.3	1.2	3.8	6.8	1.79
9	RP	Graeme Lloyd*	36	1	2	.333	3.31	36	0	12	0	0	0	35.1	39	16	13	2	7	2	17	0	0	1	149	128	1.302	9.9	0.5	1.8	4.3	2.43
10	RP	John Franco*	42	0	3	.000	2.62	38	0	13	0	0	2	34.1	35	11	10	5	13	2	16	1	0	2	148	162	1.398	9.2	1.3	3.4	4.2	1.23
