Rk	Pos		Age	G	PA	AB	R	H	2B	3B	HR	RBI	SB	CS	BB	SO	BA	OBP	SLG	OPS	OPS+	TB	GDP	HBP	SH	SF	IBB
1	C	Mike Lieberthal	31	131	561	508	68	159	30	1	13	81	0	0	38	59	0.313	0.373	0.453	0.825	121	230	14	12	0	3	2
2	1B	Jim Thome*	32	159	698	578	111	154	30	3	47	131	0	3	111	182	0.266	0.385	0.573	0.958	154	331	5	4	0	5	11
3	2B	Placido Polanco	27	122	554	492	87	142	30	3	14	63	14	2	42	38	0.289	0.352	0.447	0.799	113	220	16	8	8	4	1
4	SS	Jimmy Rollins#	24	156	689	628	85	165	42	6	8	62	20	12	54	113	0.263	0.32	0.387	0.707	90	243	9	0	5	2	4
5	3B	David Bell	30	85	348	297	32	58	14	0	4	37	0	0	41	40	0.195	0.296	0.283	0.579	57	84	7	4	0	6	1
6	LF	Pat Burrell	26	146	599	522	57	109	31	4	21	64	0	0	72	142	0.209	0.309	0.404	0.713	90	211	18	4	0	1	2
7	CF	Marlon Byrd	25	135	553	495	86	150	28	4	7	45	11	1	44	94	0.303	0.366	0.418	0.784	111	207	8	7	4	3	3
8	RF	Bobby Abreu*	29	158	695	577	99	173	35	1	20	101	22	9	109	126	0.3	0.409	0.468	0.877	136	270	13	2	0	7	13
9	IF	Tomas Perez#	29	125	327	298	39	79	18	1	5	33	0	1	23	54	0.265	0.316	0.383	0.698	87	114	7	0	4	2	11
10	OF	Ricky Ledee*	29	121	291	255	37	63	15	2	13	46	0	0	34	59	0.247	0.334	0.475	0.809	115	121	4	0	1	1	5
11	C	Todd Pratt	36	43	156	125	16	34	10	1	4	20	0	0	22	38	0.272	0.4	0.464	0.864	132	58	3	6	1	2	0
12	2B	Chase Utley*	24	43	152	134	13	32	10	1	2	21	2	0	11	22	0.239	0.322	0.373	0.696	87	50	3	6	0	1	0
13	OF	Jason Michaels	27	76	125	109	20	36	11	0	5	17	0	0	15	22	0.33	0.416	0.569	0.985	162	62	3	1	0	0	1
14	3B	Tyler Houston*	32	54	103	97	7	27	6	0	2	14	0	0	6	19	0.278	0.32	0.402	0.722	93	39	2	0	0	0	1
15	IF	Nick Punto#	25	64	99	92	14	20	2	0	1	4	2	1	7	22	0.217	0.273	0.272	0.544	48	25	0	0	0	0	1
16	C	Kelly Stinnett	33	7	8	7	0	3	0	0	0	0	0	0	1	1	0.429	0.5	0.429	0.929	154	3	0	0	0	0	0
17	3B	Travis Chapman	25	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	0	0	0	0	0	0
