Rk	Pos		Age	W	L	W-L%	ERA	G	GS	GF	CG	SHO	SV	IP	H	R	ER	HR	BB	IBB	SO	HBP	BK	WP	BF	ERA+	WHIP	H/9	HR/9	BB/9	SO/9	SO/BB
1	SP	Kevin Millwood	28	14	12	.538	4.01	35	35	0	5	3	0	222.0	210	103	99	19	68	6	169	4	0	2	930	99	1.252	8.5	0.8	2.8	6.9	2.49
2	SP	Vicente Padilla	25	14	12	.538	3.62	32	32	0	1	1	0	208.2	196	94	84	22	62	4	133	16	2	3	876	110	1.236	8.5	0.9	2.7	5.7	2.15
3	SP	Randy Wolf*	26	16	10	.615	4.23	33	33	0	2	2	0	200.0	176	101	94	27	78	4	177	6	0	6	850	94	1.270	7.9	1.2	3.5	8.0	2.27
4	SP	Brett Myers	22	14	9	.609	4.43	32	32	0	1	1	0	193.0	205	99	95	20	76	8	143	9	0	9	848	90	1.456	9.6	0.9	3.5	6.7	1.88
5	SP	Brandon Duckworth	27	4	7	.364	4.94	24	18	2	0	0	0	93.0	98	58	51	12	44	3	68	10	0	5	424	81	1.527	9.5	1.2	4.3	6.6	1.55
6	CL	Jose Mesa	37	5	7	.417	6.52	61	0	47	0	0	24	58.0	71	44	42	7	31	2	45	1	0	3	273	62	1.759	11.0	1.1	4.8	7.0	1.45
7	RP	Carlos Silva	24	3	1	.750	4.43	62	1	15	0	0	1	87.1	92	43	43	7	37	5	48	8	1	12	381	90	1.477	9.5	0.7	3.8	4.9	1.30
8	RP	Rheal Cormier*	36	8	0	1.000	1.70	65	0	21	0	0	1	84.2	54	18	16	4	25	2	67	1	1	0	327	235	0.933	5.7	0.4	2.7	7.1	2.68
9	RP	Terry Adams	30	1	4	.200	2.65	66	0	16	0	0	0	68.0	68	22	20	1	23	4	51	2	0	4	284	151	1.338	9.0	0.1	3.0	6.8	2.22
10	RP	Dan Plesac*	41	2	1	.667	2.70	58	0	9	0	0	2	33.1	29	12	10	3	11	1	37	1	0	1	141	149	1.200	7.8	0.8	3.0	10.0	3.36
