Role	Name	Age	Year	T	W	L	ERA	IP	H	BB	SO	CG	SV	WP	WHIP	H/9	BB/9	SO/9	Stamina	Fire
SP	Brown, Mordecai * >>	30	1906	R	26	6	1.04	277	198	61	144	27	3	2	0.94	6.4	2.0	4.7	121	14
SP	Pfiester, Jack * >>	28	1906	L	20	8	1.51	250	173	63	153	20	0	4	0.94	6.2	2.3	5.5	140	15
SP	Reulbach, Ed >>	24	1906	R	19	4	1.65	218	129	92	94	20	3	3	1.01	5.3	3.8	3.9	107	13
SP	Vaughn, Hippo >>	30	1918	L	22	10	1.74	290	216	76	148	27	0	4	1.01	6.7	2.4	4.6	138	14
SP	Tyler, Lefty # >>	29	1918	L	19	8	2.00	269	218	67	102	22	1	1	1.06	7.3	2.2	3.4	140	13
CL	Martin, Speed * >>	25	1918	R	5	2	1.84	53	47	14	16	4	1	2	1.15	8.0	2.4	2.7	40	13
SU	Carter, Paul # >>	24	1918	R	3	2	2.71	73	78	19	13	1	2	1	1.33	9.6	2.3	1.6	53	11
SP	Beebe, Fred >>	27	1906	R	15	10	2.93	230	171	100	171	20	1	3	1.18	6.7	3.9	6.7	105	16
SP	Hendrix, Claude >>	29	1918	R	20	7	2.78	233	229	54	86	21	0	8	1.21	8.8	2.1	3.3	127	13
SP	Root, Charley >>	30	1929	R	19	6	3.47	272	286	83	124	19	5	1	1.36	9.5	2.7	4.1	103	14
SP	Lundgren, Carl >>	26	1906	R	17	6	2.21	207	160	89	103	21	2	4	1.20	7.0	3.9	4.5	121	14
SP	Bush, Guy >>	28	1929	R	18	7	3.66	270	277	107	82	18	8	7	1.42	9.2	3.6	2.7	87	12
SP	Wicker, Bob >>	28	1906	R	9	16	2.79	222	220	65	94	19	0	4	1.28	8.9	2.6	3.8	122	13
SP	Douglas, Phil >>	28	1918	R	10	9	2.13	156	145	31	51	11	2	2	1.13	8.4	1.8	2.9	108	13
SP	Overall, Orval >>	25	1906	R	16	8	2.74	226	193	97	127	19	1	7	1.28	7.7	3.9	5.1	124	15
