POS	Name	Age	Year	B	G	Avg	OBP	SLG	OPS	AB	R	H	2B	3B	HR	RBI	BB	SO	HBP	SB	FLD%	A	RF	Spd	Fire	EN
3B(IF)	Sutton, Ezra >>	34	1884	R	110	.346	.384	.455	.839	468	102	162	28	7	3	61	29	22	0	0	.908	-	2.8	4	7	58
C(1B)	Perez, Eddie >>	30	1998	R	61	.336	.404	.537	.941	149	18	50	12	0	6	32	15	28	2	1	.994	-	5.2	2	13	5
OF(OF)	Justice, David >>	30	1996	L	40	.321	.414	.514	.928	140	23	45	9	0	6	25	21	22	1	1	1.000	-	2.3	2	13	4
C(DH)	Lopez, Javy >>	29	1999	R	65	.317	.375	.533	.908	246	34	78	18	1	11	45	20	41	3	0	.991	-	6.8	2	12	5
1B(DH)	Galarraga, Andres # >>	37	1998	R	153	.305	.400	.595	.995	555	103	169	27	1	44	121	63	146	25	7	.992	-	8.5	3	15	20
3B(SS)	Jones, Chipper >>	27	1999	S	157	.319	.445	.633	1.078	567	116	181	41	1	45	110	126	94	2	25	.951	-	2.1	5	16	34
OF(OF)	Williams, Gerald # >>	32	1998	R	129	.305	.353	.504	.857	266	46	81	19	2	10	44	17	48	3	11	.970	-	1.2	6	12	7
SS(OF)	Flagstead, Ira >>	28	1921	R	85	.305	.371	.382	.753	259	40	79	16	2	0	31	21	21	6	8	.918	-	3.7	5	7	5
OF(OF)	Grissom, Marquis >>	29	1996	R	158	.308	.351	.489	.840	671	106	207	32	10	23	74	41	73	3	28	.997	-	2.2	7	10	42
1B(OF)	Klesko, Ryan >>	28	1999	L	133	.297	.381	.532	.913	404	55	120	28	2	21	80	53	69	2	5	.990	-	4.4	4	12	8
1B(DH)	Simon, Randall >>	24	1999	L	90	.317	.369	.459	.828	218	26	69	16	0	5	25	17	25	1	2	.994	-	5.4	2	9	5
SS(IF)	Hernandez, Jose >>	30	1999	R	147	.266	.340	.425	.765	508	79	135	20	2	19	62	52	145	5	11	.970	-	7.6	4	10	13
OF(OF)	Jones, Andruw >>	21	1998	R	159	.271	.323	.515	.838	582	89	158	33	8	31	90	40	129	4	27	.995	+	2.7	7	13	56
