Role	Name	Age	Year	T	W	L	ERA	IP	H	BB	SO	CG	SV	WP	WHIP	H/9	BB/9	SO/9	Stamina	Fire
SP	Whitney, Jim # >>	27	1884	R	23	14	2.09	336	272	27	270	35	0	18	0.89	7.3	0.7	7.2	139	17
SP	Buffinton, Charlie >>	23	1884	R	48	16	2.15	587	506	76	417	63	0	24	0.99	7.8	1.2	6.4	140	16
SP	Maddux, Greg >>	32	1998	R	18	9	2.22	251	201	45	204	9	0	4	0.98	7.2	1.6	7.3	126	17
SP	Millwood, Kevin >>	25	1999	R	18	7	2.68	228	168	59	205	2	0	5	1.00	6.6	2.3	8.1	110	18
SP	Smoltz, John >>	29	1996	R	24	8	2.94	253	199	55	276	6	0	10	1.00	7.1	2.0	9.8	126	19
CL	Borbon, Pedro * >>	29	1996	L	3	0	2.75	36	26	7	31	0	1	0	0.92	6.5	1.8	7.8	25	17
SU	Ligtenberg, Kerry >>	27	1998	R	3	2	2.71	73	51	24	79	0	30	3	1.03	6.3	3.0	9.7	25	19
RP	Seanez, Rudy >>	30	1998	R	4	1	2.75	36	25	16	50	0	2	2	1.14	6.3	4.0	12.5	23	22
RP	Rocker, John >>	24	1998	L	1	3	2.13	38	22	22	42	0	2	6	1.16	5.2	5.2	9.9	25	20
RP	Remlinger, Mike >>	33	1999	L	10	1	2.37	83	66	35	81	0	1	5	1.22	7.2	3.8	8.8	22	19
RP	Springer, Russ >>	31	1999	R	2	1	3.42	47	31	22	49	0	1	0	1.13	5.9	4.2	9.4	25	19
SP	Glavine, Tom >>	32	1998	L	20	6	2.47	229	202	74	157	4	0	3	1.21	7.9	2.9	6.2	107	16
