POS	Name	Age	Year	B	G	Avg	OBP	SLG	OPS	AB	R	H	2B	3B	HR	RBI	BB	SO	HBP	SB	FLD%	A	RF	Spd	Fire	EN
OF(SS)	Duffy, Hugh # >>	28	1894	R	125	.440	.502	.694	1.196	539	160	237	51	16	18	145	66	15	1	48	.919	+	2.8	9	10	21
C(1B)	Perez, Eddie >>	30	1998	R	61	.336	.404	.537	.941	149	18	50	12	0	6	32	15	28	2	1	.994	-	5.2	2	13	5
2B(SS)	Lowe, Bobby >>	29	1894	R	133	.346	.401	.520	.921	613	158	212	34	11	17	115	50	25	6	23	.928	-	5.7	7	9	200
C(DH)	Lopez, Javy * >>	33	2003	R	129	.328	.379	.687	1.066	457	89	150	29	3	43	109	33	90	4	0	.994	-	6.0	2	17	7
OF(OF)	Sheffield, Gary # >>	35	2003	R	155	.330	.424	.604	1.028	576	126	190	37	2	39	132	86	55	8	18	.986	-	1.9	5	14	25
1B(DH)	Galarraga, Andres >>	37	1998	R	153	.305	.400	.595	.995	555	103	169	27	1	44	121	63	146	25	7	.992	-	8.5	3	15	20
3B(IF)	Jones, Chipper >>	26	1998	S	160	.313	.408	.547	.955	601	123	188	29	5	34	107	96	93	1	16	.971	-	2.5	5	12	83
2B(IF)	Giles, Marcus >>	25	2003	R	145	.316	.393	.526	.919	551	101	174	49	2	21	69	59	80	11	14	.982	-	5.2	5	11	12
SS(OF)	Long, Herman >>	28	1894	L	104	.324	.375	.505	.880	475	136	154	28	11	12	79	35	17	4	24	.886	-	5.8	8	10	7
OF(OF)	Bannon, Jimmy >>	23	1894	R	128	.336	.414	.514	.928	494	130	166	29	10	13	114	62	42	4	47	.874	+	2.2	9	10	35
OF(SS)	McCarthy, Tommy >>	31	1894	R	127	.349	.419	.490	.909	539	118	188	21	8	13	126	59	17	6	43	.905	+	2.6	8	9	28
1B(OF)	Tucker, Tommy >>	31	1894	S	123	.330	.412	.420	.832	500	112	165	24	6	3	100	53	21	17	18	.985	-	9.6	7	7	17
3B(IF)	Sutton, Ezra >>	34	1884	R	110	.346	.384	.455	.839	468	102	162	28	7	3	61	29	22	0	0	.908	-	2.8	4	7	58
