Role	Name	Age	Year	T	W	L	ERA	IP	H	BB	SO	CG	SV	WP	WHIP	H/9	BB/9	SO/9	Stamina	Fire
SP	Coombs, Jack >>	28	1910	R	31	9	1.30	353	248	115	224	35	1	10	1.03	6.3	2.9	5.7	122	15
SP	Bender, Chief >>	26	1910	R	23	5	1.58	250	182	47	155	25	0	7	0.92	6.6	1.7	5.6	140	15
SP	Blue, Vida >>	22	1971	L	24	8	1.82	312	209	88	301	24	0	10	0.95	6.0	2.5	8.7	140	18
SP	Stewart, Dave >>	33	1990	R	22	11	2.56	267	226	83	166	11	0	8	1.16	7.6	2.8	5.6	125	15
SP	Hunter, Catfish >>	25	1971	R	21	11	2.96	273	225	80	181	16	0	2	1.12	7.4	2.6	6.0	121	16
RP	Honeycutt, Rick # >>	36	1990	L	2	2	2.70	63	46	22	38	0	7	1	1.08	6.6	3.1	5.4	23	15
RP	Nelson, Gene >>	30	1990	R	3	3	1.57	74	55	17	38	0	5	1	0.97	6.7	2.1	4.6	25	14
RP	Knowles, Darold >>	30	1971	L	7	4	3.57	68	57	22	56	0	9	0	1.16	7.5	2.9	7.4	25	18
SU	Fingers, Rollie # >>	25	1971	R	4	6	2.99	129	94	30	98	2	17	1	0.96	6.6	2.1	6.8	39	17
CL	Eckersley, Dennis * >>	36	1990	R	4	2	0.61	73	41	4	73	0	48	0	0.62	5.1	0.5	9.0	23	19
SP	Welch, Bob >>	34	1990	R	27	6	2.95	238	214	77	127	2	0	2	1.22	8.1	2.9	4.8	106	14
