POS	Name	Age	Year	B	G	Avg	OBP	SLG	OPS	AB	R	H	2B	3B	HR	RBI	BB	SO	HBP	SB	FLD%	A	RF	Spd	Fire	EN
OF(SS)	Duffy, Hugh * >>	28	1894	R	125	.440	.502	.694	1.196	539	160	237	51	16	18	145	66	15	1	48	.919	+	2.8	9	10	21
2B(SS)	Lowe, Bobby >>	29	1894	R	133	.346	.401	.520	.921	613	158	212	34	11	17	115	50	25	6	23	.928	-	5.7	7	9	200
SS(C)	Connaughton, Frank * >>	25	1894	R	46	.345	.407	.456	.863	171	42	59	9	2	2	33	16	8	2	3	.903	-	4.5	5	9	5
OF(SS)	McCarthy, Tommy >>	31	1894	R	127	.349	.419	.490	.909	539	118	188	21	8	13	126	59	17	6	43	.905	+	2.6	8	9	281B(OF)	Tucker, Tommy >>	31	1894	S	123	.330	.412	.420	.832	500	112	165	24	6	3	100	53	21	17	18	.985	-	9.6	7	7	17
OF(OF)	Bannon, Jimmy >>	23	1894	R	128	.336	.414	.514	.928	494	130	166	29	10	13	114	62	42	4	47	.874	+	2.2	9	10	35
1B(OF)	Tucker, Tommy >>	31	1894	S	123	.330	.412	.420	.832	500	112	165	24	6	3	100	53	21	17	18	.985	-	9.6	7	7	17
3B(IF)	Sutton, Ezra >>	34	1884	R	110	.346	.384	.455	.839	468	102	162	28	7	3	61	29	22	0	0	.908	-	2.8	4	7	58
SS(OF)	Long, Herman >>	28	1894	L	104	.324	.375	.505	.880	475	136	154	28	11	12	79	35	17	4	24	.886	-	5.8	8	10	7
3B(IF)	Jones, Chipper >>	26	1998	S	160	.313	.408	.547	.955	601	123	188	29	5	34	107	96	93	1	16	.971	-	2.5	5	12	83
1B(DH)	Galarraga, Andres * # >>	37	1998	R	153	.305	.400	.595	.995	555	103	169	27	1	44	121	63	146	25	7	.992	-	8.5	3	15	20
C(DH)	Lopez, Javy >>	28	1998	R	133	.284	.333	.540	.873	489	73	139	21	1	34	106	30	85	6	5	.995	+	7.9	3	15	8
OF(OF)	Jones, Andruw >>	21	1998	R	159	.271	.323	.515	.838	582	89	158	33	8	31	90	40	129	4	27	.995	+	2.7	7	13	56
