Role	Name	Age	Year	T	W	L	ERA	IP	H	BB	SO	CG	SV	WP	WHIP	H/9	BB/9	SO/9	Stamina	Fire
SP	Johnson, Walter * >>	26	1913	R	36	7	1.14	346	232	38	243	29	2	3	0.78	6.0	1.0	6.3	126	16
SP	Santana, Johan * >>	27	2006	L	19	6	2.77	233	186	47	245	1	0	4	1.00	7.2	1.8	9.5	106	19
SP	Blyleven, Bert # >>	19	1970	R	10	9	3.18	164	143	47	135	5	0	2	1.16	7.8	2.6	7.4	107	17
SP	Boehling, Joe >>	22	1913	L	17	7	2.14	235	197	82	110	18	4	7	1.19	7.5	3.1	4.2	109	14
SP	Perry, Jim >>	35	1970	R	24	12	3.04	278	258	57	168	13	0	3	1.13	8.4	1.8	5.4	105	15
RP	Neshek, Pat >>	26	2006	R	4	2	2.19	37	23	6	53	0	0	0	0.78	5.6	1.5	12.9	21	23
RP	Reyes, Dennys >>	29	2006	L	5	0	0.89	50	35	15	49	0	0	4	1.00	6.3	2.7	8.8	25	19
RP	Hall, Tom >>	23	1970	L	11	6	2.55	155	94	66	184	1	4	3	1.03	5.5	3.8	10.7	41	20
SU	Williams, Stan >>	34	1970	R	10	1	1.99	113	85	32	76	0	15	2	1.04	6.8	2.5	6.1	25	16
RP	Liriano, Francisco >>	23	2006	L	12	3	2.16	121	89	32	144	0	1	9	1.00	6.6	2.4	10.7	76	21
CL	Nathan, Joe * >>	32	2006	R	7	0	1.58	68	38	16	95	0	36	3	0.79	5.0	2.1	12.6	25	23
