POS	Name	Age	Year	B	G	Avg	OBP	SLG	OPS	AB	R	H	2B	3B	HR	RBI	BB	SO	HBP	SB	FLD%	A	RF	Spd	Fire	EN
C(1B)	Howard, Elston * >>	32	1961	R	129	.348	.390	.549	.939	446	64	155	17	5	21	77	28	65	3	0	.992	-	6.0	4	12	8
SS(IF)	Jeter, Derek >>	24	1998	R	149	.324	.385	.481	.866	626	127	203	25	8	19	84	57	119	5	30	.986	-	4.1	7	10	14
1B(1B)	Gehrig, Lou * >>	24	1927	L	155	.373	.474	.765	1.239	584	149	218	52	18	47	175	109	84	3	10	.992	-	11.3	7	16	200
OF(OF)	Ruth, Babe * >>	32	1927	L	151	.356	.486	.772	1.258	540	158	192	29	8	60	164	137	89	0	7	.963	-	2.3	5	19	53
OF(OF)	Mantle, Mickey # >>	30	1961	S	153	.317	.452	.687	1.139	514	132	163	16	6	54	128	126	112	0	12	.983	-	2.3	5	17	156
OF(DH)	Williams, Bernie * >>	30	1998	S	128	.339	.425	.575	1.000	499	101	169	30	5	26	97	74	81	1	15	.990	-	2.4	6	13	7
1B(DH)	Martinez, Tino >>	31	1998	L	142	.281	.361	.505	.866	531	92	149	33	1	28	123	61	83	6	2	.992	-	9.0	2	12	10
2B(SS)	Lazzeri, Tony # >>	24	1927	R	153	.309	.383	.482	.865	570	92	176	29	8	18	102	69	82	0	22	.965	-	5.3	7	10	156
3B(1B)	Brosius, Scott >>	32	1998	R	152	.300	.373	.472	.845	530	86	159	34	0	19	98	52	97	10	11	.949	-	2.7	3	10	18
OF(DH)	O'Neill, Paul >>	35	1998	L	152	.317	.378	.510	.888	602	95	191	40	2	24	116	57	103	2	15	.987	-	2.0	4	11	18
OF(OF)	Maris, Roger # >>	27	1961	L	161	.269	.376	.620	.996	590	132	159	16	4	61	142	94	67	7	0	.968	-	1.7	2	19	200
OF(OF)	Combs, Earle >>	28	1927	L	152	.356	.414	.511	.925	648	137	231	36	23	6	64	62	31	2	15	.968	-	2.7	8	8	79
C(DH)	Posada, Jorge # >>	27	1998	S	111	.268	.353	.475	.828	358	56	96	23	0	17	63	47	92	0	0	.994	-	5.8	1	12	5
2B(DH)	Knoblauch, Chuck >>	30	1998	R	150	.265	.364	.405	.769	603	117	160	25	4	17	64	76	70	18	31	.981	-	4.6	7	9	16
SS(IF)	Koenig, Mark >>	23	1927	S	123	.285	.320	.382	.702	526	99	150	20	11	3	62	25	21	2	3	.936	-	5.6	5	7	7
