Role	Name	Age	Year	T	W	L	ERA	IP	H	BB	SO	CG	SV	WP	WHIP	H/9	BB/9	SO/9	Stamina	Fire
SP	Stieb, Dave # >>	28	1985	R	14	13	2.48	265	206	96	167	8	0	4	1.14	7.0	3.3	5.7	120	15
SP	Clemens, Roger >>	36	1998	R	20	6	2.65	234	169	88	271	5	0	6	1.10	6.5	3.4	10.4	125	20
SP	Key, Jimmy >>	24	1985	L	14	6	3.00	212	188	50	85	3	0	6	1.12	8.0	2.1	3.6	105	13
SP	Halladay, Roy >>	26	2003	R	22	7	3.25	266	253	32	204	9	0	6	1.07	8.6	1.1	6.9	124	17
SP	Hentgen, Pat >>	25	1993	R	19	9	3.87	216	215	74	122	3	0	11	1.34	9.0	3.1	5.1	103	15
CL	Ward, Duane >>	29	1993	R	2	3	2.13	71	49	25	97	0	45	7	1.04	6.2	3.2	12.3	22	23
SU	Henke, Tom >>	28	1985	R	3	3	2.03	40	29	8	42	0	13	0	0.93	6.5	1.8	9.5	24	20
RP	Quantrill, Paul >>	30	1998	R	3	4	2.59	80	88	22	59	0	7	1	1.38	9.9	2.5	6.6	25	17
RP	Eichhorn, Mark >>	33	1993	R	3	1	2.72	72	76	22	47	0	0	2	1.36	9.5	2.8	5.9	25	15
RP	Kershner, Jason >>	27	2003	L	3	3	3.17	54	43	15	32	0	0	2	1.07	7.2	2.5	5.3	25	15
RP	Lamp, Dennis >>	33	1985	R	11	0	3.32	105	96	27	68	0	2	5	1.17	8.2	2.3	5.8	25	16
SP	Guzman, Juan >>	27	1993	R	14	3	3.99	221	211	110	194	2	0	26	1.45	8.6	4.5	7.9	104	18
