POS	Name	Age	Year	B	G	Avg	OBP	SLG	OPS	AB	R	H	2B	3B	HR	RBI	BB	SO	HBP	SB	FLD%	A	RF	Spd	Fire	EN
OF(OF)	Medwick, Joe # >>	23	1934	R	149	.319	.343	.529	.872	620	110	198	40	18	18	106	21	83	1	3	.960	-	2.2	7	10	33
C(1B)	DeLancey, Bill >>	23	1934	L	93	.316	.414	.565	.979	253	41	80	18	3	13	40	41	37	1	1	.980	-	4.3	4	13	6
1B(OF)	Musial, Stan >>	26	1946	L	156	.365	.434	.587	1.021	624	124	228	50	20	16	103	73	31	3	7	.988	-	7.9	7	9	200
1B(DH)	Pujols, Albert # >>	26	2006	R	143	.331	.433	.671	1.104	535	119	177	33	1	49	137	92	50	4	7	.996	-	10.2	3	16	11
1B(1B)	Collins, Ripper >>	30	1934	S	154	.333	.393	.615	1.008	600	116	200	40	12	35	128	57	50	2	2	.991	-	9.1	5	12	200
3B(IF)	Rolen, Scott >>	31	2006	R	142	.296	.374	.518	.892	521	94	154	48	1	22	95	56	69	9	7	.965	-	2.9	3	11	10
3B(IF)	Kurowski, Whitey >>	28	1946	R	142	.301	.391	.462	.853	519	76	156	32	5	14	89	72	47	5	2	.966	-	3.0	4	9	15
2B(3B)	Frisch, Frankie >>	36	1934	S	140	.305	.359	.398	.757	550	74	168	30	6	3	75	45	10	1	11	.973	-	5.1	5	7	13
OF(OF)	Flood, Curt >>	30	1968	R	150	.301	.341	.366	.707	618	71	186	17	4	5	60	33	58	5	11	.983	-	2.6	4	7	16
C(1B)	Davis, Spud >>	30	1934	R	107	.300	.366	.464	.830	347	45	104	22	4	9	65	34	27	2	0	.988	-	4.7	4	10	5
3B(IF)	Martin, Pepper >>	30	1934	R	110	.289	.337	.425	.762	454	74	131	25	11	5	49	32	41	1	23	.937	-	2.6	8	8	6
SS(IF)	Eckstein, David # >>	31	2006	R	123	.292	.352	.344	.696	500	68	146	18	1	2	23	31	41	15	7	.989	-	4.4	3	7	6
OF(OF)	Brock, Lou >>	29	1968	L	159	.279	.329	.418	.747	660	92	184	46	14	6	51	46	124	3	62	.952	-	1.7	9	8	56
OF(OF)	Slaughter, Enos # >>	30	1946	L	156	.300	.374	.465	.839	609	100	183	30	8	18	130	69	41	2	9	.981	+	2.0	5	10	200
