Role	Name	Age	Year	T	W	L	ERA	IP	H	BB	SO	CG	SV	WP	WHIP	H/9	BB/9	SO/9	Stamina	Fire
SP	Gibson, Bob >>	33	1968	R	22	9	1.12	304	198	62	268	28	0	4	0.86	5.9	1.8	7.9	139	18
SP	Dean, Dizzy # >>	24	1934	R	30	7	2.66	311	288	75	195	24	7	2	1.17	8.3	2.2	5.6	104	15
SP	Washburn, Ray >>	30	1968	R	14	8	2.26	215	191	47	124	8	0	3	1.11	8.0	2.0	5.2	105	15
SP	Carpenter, Chris # >>	31	2006	R	15	8	3.09	221	194	43	184	5	0	3	1.07	7.9	1.8	7.5	110	17
SP	Dean, Paul # >>	22	1934	R	19	11	3.43	233	225	52	150	16	2	1	1.19	8.7	2.0	5.8	87	16
CL	Hoerner, Joe >>	32	1968	L	8	2	1.48	48	34	12	42	0	17	3	0.96	6.4	2.3	7.9	25	18
RP	Wainwright, Adam >>	25	2006	R	2	1	3.12	75	64	22	72	0	3	3	1.15	7.7	2.6	8.6	23	19
RP	Isringhausen, Jason >>	34	2006	R	4	8	3.55	58	47	38	52	0	33	3	1.47	7.3	5.9	8.1	25	18
RP	Granger, Wayne >>	24	1968	R	4	2	2.25	44	40	12	27	0	4	2	1.18	8.2	2.5	5.5	22	16
SU	Thompson, Brad >>	24	2006	R	1	2	3.34	56	58	20	32	0	0	1	1.39	9.3	3.2	5.1	25	15
SP	Pollet, Howie >>	25	1946	L	21	10	2.10	266	228	86	107	22	5	1	1.18	7.7	2.9	3.6	104	13
