POS	Name	Age	Year	B	G	Avg	OBP	SLG	OPS	AB	R	H	2B	3B	HR	RBI	BB	SO	HBP	SB	FLD%	A	RF	Spd	Fire	EN
OF(OF)	McGee, Willie >>	32	1990	S	154	.324	.374	.419	.793	614	99	199	35	7	3	77	48	104	1	31	.962	+	5.5	7	7	22
1B(DH)	Pujols, Albert >>	26	2006	R	143	.331	.433	.671	1.104	535	119	177	33	1	49	137	92	50	4	7	.996	-	10.2	3	16	11
OF(OF)	Beltran, Carlos >>	35	2012	S	151	.269	.349	.495	.844	547	83	147	26	1	32	97	65	124	2	13	.991	-	1.5	4	13	17
OF(OF)	Holliday, Matt >>	32	2012	R	157	.295	.382	.497	.879	599	95	177	36	2	27	102	75	132	9	4	.987	-	1.5	2	12	34
C(1B)	Molina, Yadier >>	30	2012	R	138	.315	.377	.501	.878	505	65	159	28	0	22	76	45	55	5	12	.997	+	7.7	4	11	9
3B(IF)	Rolen, Scott >>	31	2006	R	142	.296	.374	.518	.892	521	94	154	48	1	22	95	56	69	9	7	.965	-	2.9	3	11	10
3B(IF)	Freese, David >>	29	2012	R	144	.293	.373	.467	.840	501	70	147	25	1	20	79	57	122	7	3	.949	-	2.3	2	11	11
OF(OF)	Hendrick, George >>	33	1982	R	136	.282	.331	.450	.781	515	65	145	20	5	19	104	37	80	1	3	.980	-	1.8	4	10	8
1B(OF)	Craig, Allen >>	27	2012	R	119	.307	.359	.522	.881	469	76	144	35	0	22	92	37	89	1	2	.995	-	7.1	2	12	6
1B(OF)	Hernandez, Keith >>	29	1982	L	160	.299	.404	.413	.817	579	79	173	33	6	7	94	100	67	2	19	.994	-	10.8	6	8	83
OF(OF)	Smith, Lonnie >>	27	1982	R	156	.307	.383	.434	.817	592	120	182	35	8	8	69	64	74	9	68	.970	+	2.0	9	8	29
1B(DH)	Guerrero, Pedro >>	34	1990	R	136	.281	.341	.426	.767	498	42	140	31	1	13	80	44	70	1	1	.989	-	8.5	2	10	8
OF(OF)	Encarnacion, Juan >>	30	2006	R	153	.278	.320	.443	.763	557	74	155	25	5	19	79	30	86	4	6	.978	-	1.8	4	10	20
