POS	Name	Age	Year	B	G	Avg	OBP	SLG	OPS	AB	R	H	2B	3B	HR	RBI	BB	SO	HBP	SB	FLD%	A	RF	Spd	Fire	EN
OF(DH)	Hill, Glenallen >>	35	2000	R	104	.293	.338	.600	.938	300	45	88	9	1	27	58	19	76	1	0	.968	-	1.2	2	16	6
2B(IF)	Cano, Robinson >>	30	2012	L	161	.313	.380	.550	.930	627	105	196	48	1	33	94	61	96	7	3	.992	-	4.5	2	12	164
SS(IF)	Jeter, Derek >>	38	2012	R	159	.316	.363	.429	.792	683	99	216	32	0	15	58	45	90	5	9	.980	-	3.1	2	9	56
OF(DH)	Williams, Bernie >>	32	2000	S	141	.307	.393	.566	.959	537	108	165	37	6	30	121	71	84	5	13	1.000	-	2.5	5	13	10
OF(OF)	Justice, David >>	34	2000	L	146	.286	.379	.584	.963	524	89	150	31	1	41	118	77	91	1	2	.982	+	3.0	2	15	12
C(1B)	Posada, Jorge >>	29	2000	S	151	.287	.419	.527	.946	505	92	145	35	1	28	86	107	151	8	2	.992	+	6.7	2	12	17
3B(IF)	Rodriguez, Alex # >>	35	2010	R	137	.270	.348	.506	.854	522	74	141	29	2	30	125	59	98	3	4	.976	-	2.1	3	13	8
1B(DH)	Teixeira, Mark >>	30	2010	S	158	.256	.368	.481	.849	601	113	154	36	0	33	108	93	122	13	0	.998	-	8.3	1	12	42
OF(1B)	Swisher, Nick >>	30	2010	S	150	.288	.360	.511	.871	566	91	163	33	3	29	89	58	139	6	1	.987	-	2.0	2	12	16
OF(DH)	O'Neill, Paul >>	37	2000	L	142	.283	.342	.424	.766	566	79	160	26	0	18	100	51	90	0	14	.993	-	2.1	4	10	10
OF(OF)	Granderson, Curtis >>	31	2012	L	160	.232	.322	.492	.814	596	102	138	18	4	43	106	75	195	5	10	1.000	-	2.2	4	15	83
1B(DH)	Martinez, Tino >>	33	2000	L	155	.258	.329	.422	.751	569	69	147	37	4	16	91	52	74	8	4	.994	-	8.0	3	10	25
C(1B)	Martin, Russell >>	29	2012	R	133	.211	.311	.403	.714	422	50	89	18	0	21	53	53	95	8	6	.994	+	7.4	3	12	81B(DH)	Martinez, Tino >>	33	2000	L	155	.258	.329	.422	.751	569	69	147	37	4	16	91	52	74	8	4	.994	-	8.0	3	10	25
